"schedule_id","user_id","title","description","start_time","end_time","created_at"
1,1,Project Kickoff,Kickoff meeting for the new project with stakeholders.,"2024-10-30 09:00:00","2024-10-30 10:30:00","2024-10-23 09:43:49"
2,1,Lunch with Client,Discuss project requirements over lunch.,"2024-10-31 12:00:00","2024-10-31 13:00:00","2024-10-23 09:43:49"
3,2,Team Retrospective,Review what went well and what can be improved.,"2024-11-01 15:00:00","2024-11-01 16:00:00","2024-10-23 09:43:49"
4,3,Dentist Appointment,Routine check-up.,"2024-10-29 14:00:00","2024-10-29 15:00:00","2024-10-23 09:43:49"
5,1,Weekly Team Meeting,Discuss project updates and blockers.,"2024-11-02 10:00:00","2024-11-02 11:00:00","2024-10-23 09:43:49"
6,2,Health Check,Annual health check-up.,"2024-11-05 08:30:00","2024-11-05 09:30:00","2024-10-23 09:43:49"
7,3,Budget Planning,Create budget for the next quarter.,"2024-11-03 13:00:00","2024-11-03 15:00:00","2024-10-23 09:43:49"
8,1,Presentation Prep,Prepare slides for the upcoming conference.,"2024-11-04 09:00:00","2024-11-04 12:00:00","2024-10-23 09:43:49"
9,2,Conference Call,Join the call with international partners.,"2024-10-28 16:00:00","2024-10-28 17:00:00","2024-10-23 09:43:49"
10,3,Family Gathering,Annual family reunion at grandma’s house.,"2024-11-10 16:00:00","2024-11-10 20:00:00","2024-10-23 09:43:49"
